 posicao = [6, 35] - vizinhos: [[7, 35], [5, 35], [6, 34], [6, 36]] 
 posicao = [6, 36] - vizinhos: [[7, 36], [5, 36], [6, 35], [6, 37]] 
 posicao = [6, 37] - vizinhos: [[7, 37], [5, 37], [6, 36], [6, 38]] 
 posicao = [6, 38] - vizinhos: [[7, 38], [5, 38], [6, 37], [6, 39]] 
 posicao = [6, 39] - vizinhos: [[7, 39], [5, 39], [6, 38], [6, 40]] 
 posicao = [6, 40] - vizinhos: [[7, 40], [5, 40], [6, 39], [6, 41]] 
 posicao = [6, 41] - vizinhos: [[7, 41], [5, 41], [6, 40], [6, 42]] 
 posicao = [6, 42] - vizinhos: [[7, 42], [5, 42], [6, 41], [6, 43]] 
 posicao = [6, 43] - vizinhos: [[7, 43], [5, 43], [6, 42], [6, 44]] 
 posicao = [6, 44] - vizinhos: [[7, 44], [5, 44], [6, 43], [6, 45]] 
 posicao = [6, 45] - vizinhos: [[7, 45], [5, 45], [6, 44], [6, 46]] 
 posicao = [6, 46] - vizinhos: [[7, 46], [5, 46], [6, 45], [6, 47]] 
 posicao = [6, 47] - vizinhos: [[7, 47], [5, 47], [6, 46]] 
 posicao = [7, 2] - vizinhos: [[8, 2], [6, 2], [7, 3]] 
 posicao = [7, 3] - vizinhos: [[8, 3], [6, 3], [7, 2], [7, 4]] 
 posicao = [7, 4] - vizinhos: [[8, 4], [6, 4], [7, 3], [7, 5]] 
 posicao = [7, 5] - vizinhos: [[8, 5], [6, 5], [7, 4], [7, 6]] 
 posicao = [7, 6] - vizinhos: [[8, 6], [6, 6], [7, 5], [7, 7]] 
 posicao = [7, 7] - vizinhos: [[8, 7], [6, 7], [7, 6], [7, 8]] 
 posicao = [7, 8] - vizinhos: [[6, 8], [7, 7], [7, 9]] 
 posicao = [7, 9] - vizinhos: [[6, 9], [7, 8], [7, 10]] 
 posicao = [7, 10] - vizinhos: [[6, 10], [7, 9], [7, 11]] 
 posicao = [7, 11] - vizinhos: [[6, 11], [7, 10], [7, 12]] 
 posicao = [7, 12] - vizinhos: [[6, 12], [7, 11], [7, 13]] 
 posicao = [7, 13] - vizinhos: [[6, 13], [7, 12], [7, 14]] 
 posicao = [7, 14] - vizinhos: [[6, 14], [7, 13], [7, 15]] 
 posicao = [7, 15] - vizinhos: [[6, 15], [7, 14], [7, 16]] 
